Number of Vehicles	Accident Day	Time	1st Road Class	Road Surface	Lighting Conditions	Weather Conditions	Casualty Class	Sex of Casualty	Age of Casualty	Type of Vehicle	Casualty Severity
2	Sunday	1	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	6	Car	Slight
1	Sunday	1	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Male	28	Car	Slight
2	Sunday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	41	Pedal cycle	Slight
1	Sunday	3	A	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	64	Car	Slight
1	Sunday	4	Unclassified	Dry	Daylight: street lights present	Fine with high winds	Pedestrian	Male	20	Taxi/Private hire car	Slight
2	Monday	4	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine with high winds	Driver or rider	Male	34	Car	Slight
2	Friday	4	A	Dry	Darkness: street lights present and lit	Unknown	Driver or rider	Female	23	Car	Slight
1	Monday	4	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Male	28	Car	Slight
3	Monday	1	Unclassified	Dry	Daylight: street lights present	Fine with high winds	Driver or rider	Female	52	Car	Slight
3	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine with high winds	Driver or rider	Female	66	Car	Slight
1	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine with high winds	Pedestrian	Female	85	Car	Slight
