Number of Vehicles	Accident Day	Time	1st Road Class	Road Surface	Lighting Conditions	Weather Conditions	Casualty Class	Sex of Casualty	Age of Casualty	Type of Vehicle	Casualty Severity
1	Thursday	3	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver	Female	66	Other Vehicle 	Serious
3	Friday	3	B	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	48	M/cycle 50cc and under	Serious
											
											
											
											
											
											
											
											
											
											
											
2	Saturday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	48	Pedal cycle	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Tuesday	1	A	Dry	Daylight: street lights present	Fine without high winds	Passenger	Female	60	Car	Serious
											
2	Wednesday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver	Female	32	Car	Serious
2	Wednesday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	54	Motorcycle over 500cc	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
1	Friday	3	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Pedestrian	Male	19	Car	Serious
											
											
											
											
											
											
											
											
2	Friday	3	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	16	M/cycle 50cc and under	Serious
											
											
2	Saturday	4	B	Dry	Daylight: street lights present	Fine without high winds	Driver	Male	20	Motorcycle over 50cc and up to 125cc	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Tuesday	2	A	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Female	63	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
2	Wednesday	1	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver	Male	79	Motorcycle over 50cc and up to 125cc	Serious
											
											
											
											
											
1	Thursday	3	B	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	57	Pedal cycle	Serious
											
											
											
											
1	Friday	3	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Male	75	Car	Serious
											
											
											
											
											
											
											
											
											
3	Friday	1	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	28	Goods vehicle 3.5 tonnes mgw and under	Serious
											
											
											
											
1	Friday	4	A	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Male	14	Bus or coach (17 or more passenger seats)	Serious
											
											
											
2	Saturday	1	Unclassified	Wet / Damp	Darkness: street lights present and lit	Fine without high winds	Passenger	Male	18	Car	Serious
											
											
											
1	Saturday	4	A	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	29	Motorcycle over 500cc	Serious
											
											
											
											
											
											
											
											
											
											
											
1	Monday	3	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Male	54	Car	Serious
											
3	Monday	4	A	Dry	Darkness: street lighting unknown	Fine without high winds	Driver	Male	51	Pedal cycle	Serious
											
											
											
											
											
2	Tuesday	4	B	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Female	37	Car	Serious
											
											
											
											
											
											
											
											
											
1	Wednesday	4	A	Dry	Darkness: street lighting unknown	Fine without high winds	Pedestrian	Male	30	Car	Serious
											
											
											
											
											
											
											
											
											
											
											
											
